nameÆapiÆpost_data
containersSummaryÆcontainer/selfmanaged/insights/containers/hosts/containersSummaryÆ{}
containersByHostÆcontainer/selfmanaged/insights/containersByHostÆ{}
containersSummaryÆcontainer/selfmanaged/insights/images/containersSummaryÆ{}
selfmanaged-vuln-fixable-countÆcontainer/selfmanaged/vulnerabilities/fixable/countÆ{"daysSincePublish":90}
selfmanaged-vuln-images-countÆcontainer/selfmanaged/vulnerabilities/images/countÆ{}
selfmanaged-insights-images-countÆcontainer/selfmanaged/insights/containers/images/countÆ{}
selfmanaged-insights-hosts-countÆcontainer/selfmanaged/insights/containers/hosts/countÆ{}
selfmanaged-complianceÆcontainer/selfmanaged/complianceÆ{"name":"COMPLIANCE","view":"topn","limit":10}
selfmanaged-topn-detectionsÆcontainer/selfmanaged/detections/topnÆ{"limit":10}
selfmanaged-topn-vulnÆcontainer/selfmanaged/vulnerabilities/topnÆ{"limit":10,"daysSincePublish":90,"fixAvailable":"yes"}
selfmanaged-compliance-2Æcontainer/selfmanaged/complianceÆ{"name":"COMPLIANCE","view":"containercompliance"}
selfmanaged-det-distributionBySeverityÆcontainer/selfmanaged/detections/distributionBySeverityÆ{}
selfmanaged-vuln-containersÆcontainer/selfmanaged/insights/vulnerabilities/containersÆ{}
selfmanaged-distributionByAgeÆcontainer/selfmanaged/insights/distributionByAgeÆ{}
selfmanaged-det-timeseriesÆcontainer/selfmanaged/detections/timeseriesÆ{}
selfmanaged-vuln-timeseriesÆcontainer/selfmanaged/vulnerabilities/timeseriesÆ{}
selfmanaged-det-containerCountWithThreatsÆcontainer/selfmanaged/detections/containerCountWithThreatsÆ{}
selfmanaged-vuln-healthÆcontainer/selfmanaged/vulnerabilities/healthÆ{}
selfmanaged-complaince-3Æcontainer/selfmanaged/complianceÆ{"name":"COMPLIANCE","view":"coverage"}
selfmanaged-vuln-coverageÆcontainer/selfmanaged/vulnerabilities/coverageÆ{}
