timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716878218408,1225,COMPLIANCE_SUNBURST - RunQuery,200,OK,det-api 1-1,text,true,,1370,593,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?refresh=true,1224,0,786
1716878219768,353,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1332,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,353,0,0
1716878220152,331,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1332,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,331,0,0
1716878220591,290,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1358,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,290,0,0
1716878220925,282,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1358,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,282,0,0
1716878221243,304,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1358,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,304,0,0
1716878221576,283,COMPLIANCE_SUNBURST - GetResult,200,OK,det-api 1-1,text,true,,1262,628,1,1,https://venus.uptycs.net/public/api/customers/28a06b1a-a076-400d-930c-d17b714efd3b/complianceOverview/hostCompliance?queryJobId=a934d88b-4e78-4771-b57a-8a825de6819f,281,0,0
